City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Caravelas,BR,10/27/2021 1:58,-17.7125,-39.2481,74.37,82,4,5.08
115,Dingle,PH,10/27/2021 2:02,10.9995,122.6711,83.79,78,69,9.22
116,Pascagoula,US,10/27/2021 2:02,30.3658,-88.5561,68.05,94,1,0
117,Sur,OM,10/27/2021 2:01,22.5667,59.5289,77.92,73,0,8.66
118,Madona,LV,10/27/2021 2:02,56.8533,26.217,45.52,94,100,9.31
119,Harper,LR,10/27/2021 2:02,4.375,-7.7169,76.71,90,98,5.37
120,Chake Chake,TZ,10/27/2021 2:02,-5.2459,39.7666,76.55,87,60,9.75
121,Guangyuan,CN,10/27/2021 2:02,32.442,105.823,59.02,72,97,3.36
122,Magadan,RU,10/27/2021 2:02,59.5667,150.8,28.35,74,33,6.67
123,Broome,US,10/27/2021 2:02,42.2506,-75.833,55.02,81,90,3
124,Dikson,RU,10/27/2021 1:58,73.5069,80.5464,12.74,88,100,9.31
125,Paamiut,GL,10/27/2021 2:02,61.994,-49.6678,37.2,56,0,8.08
126,Chernyshevskiy,RU,10/27/2021 2:02,63.0128,112.4714,19.72,88,100,5.21
127,Howard Springs,AU,10/27/2021 2:02,-12.497,131.047,95.99,62,50,3.2
128,Bethel,US,10/27/2021 2:02,41.3712,-73.414,56.55,92,90,3
129,Umm Lajj,SA,10/27/2021 2:02,25.0213,37.2685,78.75,53,75,5.46
130,Rudbar,AF,10/27/2021 2:02,30.15,62.6,58.51,28,0,3.06
131,Mount Isa,AU,10/27/2021 2:02,-20.7333,139.5,96.57,21,40,5.75
132,Reisterstown,US,10/27/2021 2:01,39.4696,-76.8294,51.89,79,100,5.01
133,Russell,US,10/27/2021 2:02,32.3502,-85.1999,61.88,86,1,4.61
134,Quang Ngai,VN,10/27/2021 2:00,15.1167,108.8,77.22,94,100,9.69
135,Smolensk,RU,10/27/2021 2:02,55,33,38.5,71,100,10.07
136,Quatre Cocos,MU,10/27/2021 2:02,-20.2078,57.7625,73.09,66,24,13.11
137,Acarau,BR,10/27/2021 2:00,-2.8856,-40.12,80.08,76,10,16.91
138,Mahebourg,MU,10/27/2021 2:02,-20.4081,57.7,73.26,66,66,13.42
139,Kasongo,CD,10/27/2021 2:02,-4.45,26.6667,67.1,97,93,1.25
140,Georgetown,MY,10/27/2021 2:01,5.4112,100.3354,84.13,79,20,5.75
141,Kencong,ID,10/27/2021 2:02,-8.2833,113.3667,84.94,69,82,4.45
142,Hasaki,JP,10/27/2021 2:02,35.7333,140.8333,59.4,64,100,9.22
143,Dunedin,NZ,10/27/2021 1:59,-45.8742,170.5036,57.54,83,80,4.52
144,Carnarvon,AU,10/27/2021 1:59,-24.8667,113.6333,69.87,49,90,12.66
