City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
63,Souillac,MU,70.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
64,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
67,Uvinza,TZ,68.97,overcast clouds,-5.1036,30.3911,Crown Lodge
68,Rikitea,PF,74.89,light rain,-23.1203,-134.9692,People ThankYou
69,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
74,Katherine,AU,89.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
81,Luanda,AO,75.67,overcast clouds,-8.8368,13.2343,Hotel Fórum
83,Monte Azul Paulista,BR,70.18,moderate rain,-20.9072,-48.6414,Tonelli Hotel
84,Pochutla,MX,73.81,few clouds,15.7432,-96.4661,Hotel Posada San Jose
86,Airai,TL,74.17,broken clouds,-8.9266,125.4092,Juvinal Martin
88,Cidreira,BR,67.86,overcast clouds,-30.1811,-50.2056,Hotel Castelo
91,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
92,Nakhon Phanom,TH,76.06,few clouds,17.3333,104.4167,ป่ายางรีสอร์ท
99,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
104,Naze,JP,71.19,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
106,Puerto Ayora,EC,70.74,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
113,Clovis,US,72.91,haze,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
114,Port Augusta,AU,73.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
115,Mancora,PE,72.09,broken clouds,-4.1078,-81.0475,Máncora Marina Hotel
117,Santa Maria,BR,69.93,overcast clouds,-29.6842,-53.8069,Hotel Morotin
119,Atuona,PF,78.4,few clouds,-9.8,-139.0333,Villa Enata
121,Lata,PT,67.93,overcast clouds,40.1629,-8.3327,Casa Maquia
125,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
127,Liku,ID,83.14,overcast clouds,-0.7275,119.8922,Wahyu
128,Faanui,PF,78.44,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Florianopolis,BR,69.42,overcast clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
137,Sola,VU,81.12,few clouds,-13.8833,167.55,Leumerus Bungalows
140,Albox,ES,70.18,overcast clouds,37.3886,-2.1495,Steve Conroy Los Olivos
141,Kavieng,PG,84.31,light rain,-2.5744,150.7967,Nusa Island Retreat
143,Katobu,ID,84.29,overcast clouds,-4.9408,122.5276,La Ode Husein
146,Dwarka,IN,78.6,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
